eurostat,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_over
BE,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969
BE1,166786,139449,181599,200391,172776,140792,99336,64745,49416
BE10,166786,139449,181599,200391,172776,140792,99336,64745,49416
BE100,166786,139449,181599,200391,172776,140792,99336,64745,49416
BE2,709052,712309,782847,829503,854499,950163,792681,558231,406948
BE21,211747,202668,226665,243511,237425,263345,215869,150416,108824
BE211,126251,116549,133739,141962,132703,141272,116262,82569,61726
BE212,37482,37708,40666,43650,44532,50164,40907,28618,21253
BE213,48014,48411,52260,57899,60190,71909,58700,39229,25845
BE22,89236,91118,99256,110050,114564,133738,113864,74140,49876
BE221,43765,45006,49292,55131,57119,63561,54858,36124,24848
BE222,24892,25252,27577,29857,30471,38513,31899,20026,13362
BE223,20579,20860,22387,25062,26974,31664,27107,17990,11666
BE23,162794,164054,184177,195636,201783,214782,175716,124741,92600
BE231,30920,31354,31889,36098,39745,43346,35304,24324,18371
BE232,21084,22003,22709,25043,26946,29767,24776,17042,11929
BE233,8419,8942,9707,10109,11471,12565,10462,7745,5958
BE234,60269,58598,76245,78025,73551,75311,61202,43828,33661
BE235,13292,14207,13766,14924,16751,18390,14781,10061,8230
BE236,28810,28950,29861,31437,33319,35403,29191,21741,14451
BE24,127630,132978,134858,141357,152846,164360,132632,91486,68496
BE241,75295,78169,72083,77067,85951,91149,71765,49297,37254
BE242,52335,54809,62775,64290,66895,73211,60867,42189,31242
BE25,117645,121491,137891,138949,147881,173938,154600,117448,87152
BE251,24853,27227,31716,31057,35086,42192,38872,29848,21669
BE252,5767,5418,6139,6514,6332,7505,5995,4255,3635
BE253,11229,11884,12511,12553,13262,15222,12938,9503,7449
BE254,31699,30859,35287,36031,36286,41396,34238,25615,19519
BE255,13713,14431,16480,16668,18358,23320,23657,18019,12647
BE256,16261,16347,18929,19347,19938,21543,17163,13428,10438
BE257,9723,10217,10937,11500,12278,13506,10720,7793,6366
BE258,4400,5108,5892,5279,6341,9254,11017,8987,5429
BE3,406923,436549,452421,458670,481627,503301,434018,279882,190605
BE31,43945,50100,49170,47837,54499,56873,47430,32883,21533
BE310,43945,50100,49170,47837,54499,56873,47430,32883,21533
BE32,150426,161795,163653,168034,181021,184949,162303,103607,70294
BE321,9206,10466,10198,10755,12262,12544,10485,6634,4575
BE322,50947,52048,53273,54572,57231,58186,51097,32892,21633
BE323,28885,30526,32446,33336,35002,34759,31846,19604,12771
BE324,9061,9678,8891,9544,10232,9736,8710,6012,4656
BE325,21270,23577,22957,23361,26230,27254,22456,14569,9717
BE326,15953,18042,17882,18232,19993,21771,19633,12338,8514
BE327,15104,17458,18006,18234,20071,20699,18076,11558,8428
BE33,124897,128776,139995,142428,143145,153206,132636,86038,58947
BE331,12613,13845,13413,14465,15353,16285,13861,8267,5426
BE332,70970,70482,81409,83052,80179,82905,74160,49069,34401
BE334,8828,10048,9036,10231,11607,11797,9873,6095,3983
BE335,24268,25817,26643,25602,26589,29320,25245,16166,10862
BE336,8218,8584,9494,9078,9417,12899,9497,6441,4275
BE34,33271,36589,37006,36876,38387,39124,31527,19530,14375
BE341,7263,7893,8510,8667,9261,8452,5988,3987,3041
BE342,6086,6379,6639,6469,6501,6595,5115,3116,2225
BE343,6148,6949,7372,6955,7158,8293,7232,4259,2917
BE344,7629,8105,7847,8064,8211,8426,7272,4564,3306
BE345,6145,7263,6638,6721,7256,7358,5920,3604,2886
BE35,54384,59289,62597,63495,64575,69149,60122,37824,25456
BE351,12391,13373,13700,13896,13963,16090,14008,8738,6000
BE352,35174,37938,40852,41635,41891,43052,37446,23542,16022
BE353,6819,7978,8045,7964,8721,10007,8668,5544,3434
BG,670392,650000,727368,969414,1062720,946529,954084,680922,338610
BG3,330037,335028,340718,446731,522733,479495,495060,365568,172216
BG31,65145,69870,63890,82053,107063,104957,112469,91621,45236
BG311,6452,7564,6342,8721,12763,11707,13588,12018,5710
BG312,11557,12334,11360,14352,18367,18150,19677,15890,7950
BG313,14480,15633,14419,18492,24231,23967,24034,18562,8731
BG314,21805,22621,21412,27186,33614,33178,36596,29413,14555
BG315,10851,11718,10357,13302,18088,17955,18574,15738,8290
BG32,66512,68534,81314,97279,114383,110487,116293,89880,39486
BG321,20110,20093,28407,30409,32992,31032,34356,26338,11971
BG322,8138,8595,8616,12132,16187,15535,17267,14635,7299
BG323,18379,18711,23551,28269,32387,30387,31569,24317,10986
BG324,10046,10904,10826,13606,17232,16997,16470,11731,4417
BG325,9839,10231,9914,12863,15585,16536,16631,12859,4813
BG33,89833,90811,96881,129855,146447,125071,124343,86960,38834
BG331,47509,45713,51508,71960,76949,59187,58421,40845,19160
BG332,15703,17254,16645,21704,26637,25201,25364,17921,7402
BG333,15797,16622,17831,22429,26344,24281,24798,16841,7412
BG334,10824,11222,10897,13762,16517,16402,15760,11353,4860
BG34,108547,105813,98633,137544,154840,138980,141955,97107,48660
BG341,42028,41228,39621,58809,65376,54946,55430,35790,17103
BG342,23047,22215,18902,23087,25664,24280,24439,16721,8140
BG343,11785,11784,10211,14288,16344,16909,18088,12688,6800
BG344,31687,30586,29899,41360,47456,42845,43998,31908,16617
BG4,340355,314972,386650,522683,539987,467034,459024,315354,166394
BG41,203920,183456,247761,329024,331799,266315,262869,181484,95577
BG411,134908,113332,178051,227143,215572,151601,151515,101754,54244
BG412,20678,21226,20661,28769,34642,32931,32769,24566,12799
BG413,29192,29303,31738,43636,45069,45614,40986,26510,13075
BG414,9911,9664,9025,15740,18581,18054,18564,13673,7668
BG415,9231,9931,8286,13736,17935,18115,19035,14981,7791
BG42,136435,131516,138889,193659,208188,200719,196155,133870,70817
BG421,66515,61646,72144,95318,100172,89249,86324,62692,34274
BG422,21969,21684,20447,29664,33619,31999,33415,22503,12841
BG423,25456,25834,24529,33677,36732,38162,35183,24251,11655
BG424,7700,8587,7695,13455,15299,17918,18322,11233,5212
BG425,14795,13765,14074,21545,22366,23391,22911,13191,6835
CZ,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,432907
CZ0,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,432907
CZ01,146086,107962,139873,224720,218768,151120,148002,117087,55014
CZ010,146086,107962,139873,224720,218768,151120,148002,117087,55014
CZ02,163887,139195,141111,196325,234833,162346,166108,116188,49339
CZ020,163887,139195,141111,196325,234833,162346,166108,116188,49339
CZ03,128006,117794,133725,169300,196031,153772,162970,114340,50867
CZ031,67602,62648,70623,86381,101407,80868,86341,59293,26970
CZ032,60404,55146,63102,82919,94624,72904,76629,55047,23897
CZ04,114611,114359,123703,150133,182158,141270,148246,102436,38769
CZ041,28860,29147,32396,39056,47789,38856,40245,27397,11150
CZ042,85751,85212,91307,111077,134369,102414,108001,75039,27619
CZ05,159483,149039,168309,203184,243282,183937,199692,143045,63722
CZ051,47954,44226,48933,60551,72329,52993,57588,41297,16485
CZ052,56643,53889,60349,71779,87595,67513,74240,54212,24801
CZ053,54886,50924,59027,70854,83358,63431,67864,47536,22436
CZ06,182115,159149,188145,242693,267868,211295,214789,156358,74529
CZ063,52344,49650,58649,67488,79094,65584,66283,47192,22990
CZ064,129771,109499,129496,175205,188774,145711,148506,109166,51539
CZ07,124006,116797,134500,163516,192986,155580,160841,113130,54057
CZ071,65576,61030,69956,85198,101023,79579,83628,59123,27379
CZ072,58430,55767,64544,78318,91963,76001,77213,54007,26678
CZ08,120952,117010,137628,162295,188512,160854,158254,111184,46610
CZ080,120952,117010,137628,162295,188512,160854,158254,111184,46610
DK,618216,683669,783879,681161,762648,797775,662929,552058,263746
DK0,618216,683669,783879,681161,762648,797775,662929,552058,263746
DK01,205187,200799,285868,252436,247905,238407,179236,152800,72924
DK011,87806,66287,178096,139333,103148,84655,60098,45064,20131
DK012,65160,67742,66576,66287,75345,75245,56621,48588,25970
DK013,49002,62492,38202,43544,64700,72111,55883,53622,24192
DK014,3219,4278,2994,3272,4712,6396,6634,5526,2631
DK02,82782,103282,83879,83624,113529,126367,108204,94162,40909
DK021,27333,33068,25374,25722,36162,37181,27520,26473,10526
DK022,55449,70214,58505,57902,77367,89186,80684,67689,30383
DK03,126453,149273,147622,130497,157850,174327,150383,124723,62220
DK031,49427,58406,68599,52215,63120,69260,61134,50832,25488
DK032,77026,90867,79023,78282,94730,105067,89249,73891,36732
DK04,144420,161665,187384,151170,170878,176067,151571,119777,57746
DK041,46421,56188,46312,46025,56028,60896,53770,42942,21529
DK042,97999,105477,141072,105145,114850,115171,97801,76835,36217
DK05,59374,68650,79126,63434,72486,82607,73535,60596,29947
DK050,59374,68650,79126,63434,72486,82607,73535,60596,29947
DE,7588635,7705657,9800607,10646445,10426257,13474166,10302411,7685929,5389106
DE1,1032002,1079140,1417541,1437151,1407469,1763794,1294749,953656,684031
DE11,390222,402401,520115,555765,542531,651882,468211,358575,253716
DE111,56561,53030,101828,107958,84711,85353,59175,49714,36500
DE112,39551,38752,45883,52395,51729,61707,43311,34948,23364
DE113,49416,51886,65913,68766,70759,85762,59264,48563,33530
DE114,23790,25367,29759,31318,32712,42090,31070,24033,17114
DE115,53957,53151,64071,72820,72929,86460,60499,47728,32369
DE116,39671,42528,49115,51883,55194,71086,49934,39192,27555
DE117,12419,12152,18006,17635,16352,17720,13300,10568,7808
DE118,32979,34721,40082,44204,45774,57173,40663,28230,19242
DE119,10446,11543,13618,14116,14369,18577,13823,8788,6730
DE11A,19027,20219,23463,25227,24920,31966,24545,15229,11265
DE11B,11462,13010,14734,15387,16270,22183,18085,12050,9140
DE11C,12194,13524,15225,16137,16551,21227,16100,12121,9393
DE11D,28749,32518,38418,37919,40261,50578,38442,27411,19706
DE12,252454,263327,371845,365879,352609,448745,332256,243517,174497
DE121,4314,4709,5805,6277,6815,9071,7212,6192,4728
DE122,25607,26265,57728,47064,38171,43785,31461,24683,18328
DE123,40717,42443,49541,54879,57601,75531,56093,39416,28011
DE124,20527,22192,25426,27835,29248,39548,30576,20305,15361
DE125,13503,13141,34375,27166,18352,19722,14683,11284,8129
DE126,27382,26883,50894,46466,39141,44358,31835,24770,17641
DE127,12554,14199,16353,16368,17706,24902,19346,12867,9240
DE128,51358,52303,60639,66971,70166,92368,67729,51691,34400
DE129,12692,12447,17518,16908,15342,17917,13896,10542,8280
DE12A,14693,16221,17989,18555,20161,27001,20078,13643,10056
DE12B,18336,20288,21752,23575,25086,34465,24439,18114,12850
DE12C,10771,12236,13825,13815,14820,20077,14908,10010,7473
DE13,213514,225267,285608,282198,278904,365894,274934,194482,143668
DE131,21402,20535,44892,36202,26902,30272,22239,15934,11863
DE132,25036,26418,29148,30732,32560,43791,33545,24578,16987
DE133,15610,16631,18107,19890,20847,28240,21298,14740,10020
DE134,40433,43124,49673,51876,53720,71719,54934,36023,27977
DE135,13186,14414,16022,16311,17388,23496,17115,12445,9078
DE136,19385,20492,25847,26004,25374,33843,26728,19541,15167
DE137,14179,15122,16855,18002,17808,21896,16383,11194,8713
DE138,25702,27818,40260,34370,34283,45726,33031,25762,18373
DE139,22184,22948,25744,28197,29092,38970,27664,19348,14492
DE13A,16397,17765,19060,20614,20930,27941,21997,14917,10998
DE14,175812,188145,239973,233309,233425,297273,219348,157082,112150
DE141,27203,28686,34580,35417,36689,46809,34034,24846,18484
DE142,21455,22638,38896,30504,26655,33992,25233,16208,11750
DE143,16566,18328,21742,22067,23404,32055,24251,17087,13435
DE144,11776,11708,21294,18780,15863,16853,12837,10165,7053
DE145,19301,20943,23286,24262,25550,32174,23239,15846,11446
DE146,20507,21225,23997,25775,25974,32271,23556,15319,11118
DE147,19652,21377,24142,26059,26856,35328,26569,22209,14035
DE148,27271,29516,36121,35112,36481,45434,33355,24335,16660
DE149,12081,13724,15915,15333,15953,22357,16274,11067,8169
DE2,1200904,1217533,1638957,1717926,1701205,2108710,1536697,1170153,784636
DE21,451806,431662,605746,663562,631359,725212,493665,419281,263870
DE211,13390,12247,19307,21917,17959,19237,14258,11002,7664
DE212,142225,115310,226692,257247,201449,198358,133674,121655,74898
DE213,5841,5796,8986,9020,8214,9281,6711,5870,3605
DE214,10355,10746,12634,13475,13836,18396,14014,10385,7369
DE215,9109,9355,12788,13349,12864,16780,12510,11462,7505
DE216,12172,12510,14326,15228,16585,21387,14714,12344,7961
DE217,15267,14958,18290,21118,21517,25256,16488,12906,8084
DE218,14750,14899,15761,17955,20634,23636,14391,12334,7782
DE219,13864,13741,16447,17803,17675,21348,14961,9577,6925
DE21A,13510,14293,16585,17925,19984,23820,14944,9989,6610
DE21B,17707,17597,25472,25598,25437,29072,17626,12776,7831
DE21C,21788,21351,24401,27189,29827,35041,23571,22707,13445
DE21D,7526,7751,10036,9899,10705,14821,10720,10215,6794
DE21E,11288,12588,13528,14043,15919,21212,13975,10837,6681
DE21F,9021,9379,10825,11599,13136,17107,11318,10691,6650
DE21G,10967,11213,14109,14109,15258,19086,13971,10141,6396
DE21H,35074,35444,40456,43978,49325,54638,34553,34518,20885
DE21I,9538,9660,11346,12583,12893,15865,11506,8035,5254
DE21J,12657,12232,15115,17586,17059,21227,14602,10074,6599
DE21K,24330,25881,29515,30988,33806,44068,31345,25565,15485
DE21L,13013,14401,13488,14328,18215,23219,15280,15105,9043
DE21M,15587,16885,20526,20717,22050,29437,22052,17931,11904
DE21N,12827,13425,15113,15908,17012,22920,16481,13162,8500
DE22,108951,118545,152287,152716,162335,205744,157482,108397,72071
DE221,6433,6204,10325,10162,9683,10609,7977,6491,4520
DE222,3822,4124,10426,7056,5635,7033,6004,5086,3283
DE223,3822,4065,6428,6440,6187,7532,5961,4390,2969
DE224,10240,11386,15003,14670,15446,20062,15351,10350,6818
DE225,6328,7325,8983,8739,9945,13852,11418,7004,4761
DE226,11733,12594,14939,15731,16593,20037,14517,9633,6481
DE227,15506,16129,18056,19788,22085,27262,18894,12846,8132
DE228,16294,18158,21568,22292,25007,32516,26095,18342,11771
DE229,6420,7270,8848,8979,9754,13264,11102,7129,4890
DE22A,10537,11726,14425,14221,15427,20131,15443,11064,7685
DE22B,9236,10218,11267,12184,13762,17305,12850,8376,5451
DE22C,8580,9346,12019,12454,12811,16141,11870,7686,5310
DE23,97361,103179,140451,140627,143110,185064,139691,93602,66184
DE231,3413,3728,5163,5189,4991,6720,5557,4064,3145
DE232,13000,11956,29313,25605,18745,20049,14412,11499,8031
DE233,3433,3783,5548,5117,5100,6867,5349,4246,3077
DE234,8720,9919,11631,11804,12985,18600,13975,8748,6727
DE235,11037,11937,14842,15308,16541,21834,17346,11126,7911
DE236,12516,13174,16198,16490,17644,23049,16482,10616,7392
DE237,8083,9127,10647,11076,11971,16775,12840,8069,5764
DE238,18410,19061,21554,24022,26473,33352,24571,16031,10098
DE239,12772,13964,17387,18027,19533,25058,19025,12419,9004
DE23A,5977,6530,8168,7989,9127,12760,10134,6784,5035
DE24,88777,96670,126728,125467,132727,182598,140880,100509,73126
DE241,6699,6086,13991,11850,8883,10847,7988,6451,4797
DE242,5287,6350,15077,9162,8189,10182,8462,7045,4903
DE243,3223,3461,5652,5262,4661,6502,5202,4106,3180
DE244,4140,4034,5809,5401,5383,7023,5901,4872,3367
DE245,13764,14476,16311,18329,19635,26217,18793,11539,8022
DE246,8760,9847,10397,11694,13603,18571,14058,9879,6847
DE247,7316,7954,8791,10087,10845,15385,11997,8423,6108
DE248,10699,11261,12769,13985,14776,20775,15141,9904,6789
DE249,7221,8524,9342,9719,11735,17072,13577,10158,7963
DE24A,4967,5815,6640,7223,8642,12390,9731,6543,5184
DE24B,5396,6536,7290,7672,9237,12947,10351,7132,5284
DE24C,5630,5942,7300,7569,8545,11816,9107,6329,4600
DE24D,5675,6384,7359,7514,8593,12871,10572,8128,6082
DE25,164024,163117,221993,234556,227730,283496,209288,158310,107887
DE251,3876,3930,5499,5248,5092,6569,5035,3818,2780
DE252,10238,9824,20727,16994,13080,15580,10552,8552,6415
DE253,11984,11237,16529,18838,17424,20468,14089,10561,6618
DE254,47875,44474,74571,76763,67110,73971,55147,46277,32177
DE255,3832,3930,4461,4912,5280,6925,4727,4134,2591
DE256,17021,18405,21580,22286,23622,31287,23554,14953,11241
DE257,13483,13405,13869,17100,18013,23029,17519,12361,7492
DE258,10988,10521,11586,13836,15245,20385,15097,12037,7692
DE259,15417,15917,17509,20254,22193,29462,21763,17009,10841
DE25A,9091,9855,11232,12113,12602,17413,13362,8447,6249
DE25B,11730,12301,13931,15046,16480,22293,15991,11623,7563
DE25C,8489,9318,10499,11166,11589,16114,12452,8538,6228
DE26,114478,121315,159589,160326,160989,222414,173318,117670,87025
DE261,6290,6306,8876,9767,8932,11132,8659,6174,4391
DE262,5037,4951,7300,6857,5991,7701,6638,5280,4277
DE263,9546,9210,27758,19133,13181,16491,13194,10648,8719
DE264,15259,16544,18588,20483,22129,31393,22947,15710,11155
DE265,8503,9420,10628,11306,12353,17952,14814,10294,7948
DE266,6947,7797,8698,9051,9625,13906,11268,6908,5490
DE267,7577,8178,9297,10019,10436,15109,11768,7136,5079
DE268,8120,8638,10625,11241,11509,15682,11755,7640,5699
DE269,11426,12542,14153,14896,16869,22481,16805,11461,8123
DE26A,10506,11558,13439,14177,15587,22665,17868,11739,8826
DE26B,10299,10838,12598,13809,13843,20276,15580,10338,7525
DE26C,14968,15333,17629,19587,20534,27626,22022,14342,9793
DE27,175507,183045,232163,240672,242955,304182,222373,172384,114473
DE271,25992,25251,47118,45103,37216,40540,30675,25266,17974
DE272,3952,4175,5169,5513,5204,6943,5426,4320,3191
DE273,6003,6151,10172,9161,8292,9730,7799,7011,4588
DE274,4026,4207,5400,5592,5459,6857,5212,4190,2894
DE275,13391,13546,14552,16449,17757,22970,15640,11896,7395
DE276,24606,25061,27394,30667,33010,42703,30364,23186,14543
DE277,8886,9752,11295,11412,12520,16149,12108,8138,5761
DE278,11735,12685,15314,15480,16699,21081,15160,10537,7056
DE279,16405,17040,21316,22936,22828,27420,20498,15604,10153
DE27A,7213,8088,8751,9779,10302,13944,9697,8324,5571
DE27B,13399,14340,15882,16783,17800,23409,17060,13249,8394
DE27C,13624,14356,17023,17105,18532,23897,17176,13397,8931
DE27D,12330,13699,15833,16636,17639,22054,16178,11281,7846
DE27E,13945,14694,16944,18056,19697,26485,19380,15985,10176
DE3,360492,299102,488507,611853,459837,526146,382903,317459,198527
DE30,360492,299102,488507,611853,459837,526146,382903,317459,198527
DE300,360492,299102,488507,611853,459837,526146,382903,317459,198527
DE4,220858,213263,189019,312058,307204,455432,371669,257934,184480
DE40,220858,213263,189019,312058,307204,455432,371669,257934,184480
DE401,6029,5183,6646,9776,7690,11604,10152,8681,6363
DE402,8542,7657,10979,13671,10652,15833,14258,10758,7869
DE403,4652,4702,5977,7066,6405,9325,9042,6049,4655
DE404,18893,15636,21671,28980,23226,24768,18998,14762,11155
DE405,16693,15671,12966,23038,22973,33665,27041,18553,12160
DE406,15377,14196,12369,21416,21413,30742,23868,17171,12515
DE407,7800,8044,6330,11463,12143,18962,17256,11843,8797
DE408,14768,15191,12267,19401,20906,31071,22170,15921,10214
DE409,17410,16338,12100,24176,24303,37375,29789,18637,14200
DE40A,19098,19465,15309,25857,27267,40053,29483,20516,14201
DE40B,8686,8239,7314,12825,12858,19730,17724,13460,9640
DE40C,15233,14633,11628,21033,21154,32716,28397,19593,14271
DE40D,8197,8075,6870,11946,11410,18449,16423,10227,7481
DE40E,19885,20989,13840,25057,28739,41203,30858,20183,13910
DE40F,5796,5900,5304,8537,8230,14416,12840,8762,6723
DE40G,8858,8864,6332,12287,13215,22294,20142,13138,9299
DE40H,15507,14859,13196,22358,21297,30920,22853,16082,11224
DE40I,9434,9621,7921,13171,13323,22306,20375,13598,9803
DE5,62646,62137,94985,92137,83680,101944,78201,63413,43843
DE50,62646,62137,94985,92137,83680,101944,78201,63413,43843
DE501,51493,51060,80322,78277,70183,84862,63951,52505,36699
DE502,11153,11077,14663,13860,13497,17082,14250,10908,7144
DE6,181894,159102,260498,295219,248287,265199,176421,151580,102979
DE60,181894,159102,260498,295219,248287,265199,176421,151580,102979
DE600,181894,159102,260498,295219,248287,265199,176421,151580,102979
DE7,584284,593684,770207,804470,814081,1009027,745449,560870,383737
DE71,386680,378542,483334,537857,537824,636762,454201,351489,232035
DE711,14963,14064,31161,23584,18662,20994,15539,11916,8324
DE712,76910,63578,109731,134157,109474,104254,69291,51929,33732
DE713,13964,12446,18517,20031,17393,18250,12544,9464,6135
DE714,28411,26860,34988,37406,36948,42138,29817,24766,17008
DE715,24068,25003,28611,31462,34017,47574,35698,25955,17306
DE716,28266,28965,33154,35701,38889,51041,37139,27253,16991
DE717,27893,26833,33536,36789,37009,43449,30380,23478,15159
DE718,22870,24491,22074,25852,32983,40339,27119,24332,16504
DE719,38526,40449,46323,50606,55013,69969,52612,39681,25771
DE71A,23716,24133,23399,29349,33402,39478,26342,22737,15179
DE71B,8202,9124,10278,10614,11998,16592,13735,9516,6739
DE71C,34484,34449,38866,44857,47177,57289,41555,33476,21939
DE71D,16301,18230,19070,20608,24298,33032,24365,18944,12309
DE71E,28106,29917,33626,36841,40561,52363,38065,28042,18939
DE72,91415,100684,142888,125492,126843,169989,132374,91167,66410
DE721,23734,24726,45336,34502,30937,40630,31751,21878,15382
DE722,22848,24643,28691,29412,31708,42875,32841,23853,16906
DE723,15092,17415,19040,20024,21708,29768,22693,15457,10886
DE724,21286,24285,39272,30190,29508,38080,29147,20057,14823
DE725,8455,9615,10549,11364,12982,18636,15942,9922,8413
DE73,106189,114458,143985,141121,149414,202276,158874,118214,85292
DE731,18419,17888,34124,28097,23300,28683,21776,17159,12139
DE732,20423,22333,27799,26408,27781,36270,27187,19350,15033
DE733,10391,11445,12735,13430,14878,20242,16533,12167,9008
DE734,20172,21649,23001,25566,29481,40981,32664,25893,17226
DE735,15188,16862,18745,20235,22817,31330,24779,17610,12656
DE736,13533,15346,16678,16984,19216,27510,21299,15093,11294
DE737,8063,8935,10903,10401,11941,17260,14636,10942,7936
DE8,137879,133036,136580,206979,184203,280120,250931,160725,119222
DE80,137879,133036,136580,206979,184203,280120,250931,160725,119222
DE803,17687,15982,29679,31982,21772,28775,25675,21404,15930
DE804,8754,8201,9741,13040,10652,14045,13434,10244,7707
DE80J,21499,21650,18323,31001,29343,47134,43810,26186,20184
DE80K,19695,18692,13495,27042,25956,40601,34446,20837,14349
DE80L,18334,17963,16533,27412,25563,40942,36432,23965,17540
DE80M,13813,13588,12280,20524,19114,27724,24047,14927,10712
DE80N,19663,19268,21489,29647,25996,40861,38363,23112,18298
DE80O,18434,17692,15040,26331,25807,40038,34724,20050,14502
DE9,720984,784745,941539,938244,997219,1323095,994398,755922,526302
DE91,138758,147475,193757,190812,193892,262109,202104,155219,112270
DE911,20751,20310,38625,35524,30334,36100,27203,22911,16534
DE912,10688,10383,12562,12161,12259,16153,13030,10306,7406
DE913,12086,10564,14893,17533,15108,18666,14328,11788,9185
DE914,17327,18251,17837,21201,22312,31567,22382,14915,10128
DE916,9666,11755,15565,13723,15956,23056,19228,16156,11909
DE917,7866,8341,9001,10653,11206,16145,12456,9002,6637
DE918,10643,12211,13298,13539,15857,23587,19050,13867,10713
DE91A,12783,13939,13193,15311,17713,23378,16665,12189,8794
DE91B,9915,11483,12420,12681,15187,21465,15921,12559,8329
DE91C,27033,30238,46363,38486,37960,51992,41841,31526,22635
DE92,191826,203249,255888,257855,268419,353351,263353,205955,149909
DE922,19375,21744,22373,24016,27676,38445,27960,20750,14547
DE923,12630,13828,15019,15384,17649,25595,20253,15992,12209
DE925,22799,26312,33348,30086,33824,46886,35728,27340,20271
DE926,5722,6558,7324,7261,8141,12115,10105,7698,6051
DE927,10758,12426,13073,13099,15055,21373,16068,11101,8433
DE928,13041,15268,15858,16602,19390,27914,20959,16527,12222
DE929,107501,107113,148893,151407,146684,181023,132280,106547,76176
DE93,155609,171946,177996,191904,216516,293817,219551,171142,112433
DE931,16621,18134,18611,20499,21558,29422,23640,18130,12321
DE932,17000,19375,18735,20650,24440,33828,27967,21867,14351
DE933,23758,25080,24298,28601,33321,45257,30367,25989,16105
DE934,3753,4608,4138,4723,5492,8456,7359,5820,4075
DE935,17200,18634,22196,22183,24268,30782,21404,16199,10506
DE936,10243,11150,10454,12201,14531,20580,14858,12168,7332
DE937,14464,17407,18159,18580,20833,28437,20860,14829,9886
DE938,12517,14129,15491,15733,17242,23870,17698,13319,9756
DE939,19504,20890,22408,23955,26161,33768,24770,19512,12134
DE93A,7256,8779,9336,9324,11477,16274,12837,9853,7436
DE93B,13293,13760,14170,15455,17193,23143,17791,13456,8531
DE94,234791,262075,313898,297673,318392,413818,309390,223606,151690
DE941,7552,7714,9326,9163,9615,12279,9429,7763,4766
DE942,4617,4918,7051,6086,6159,7630,6009,4618,3107
DE943,14516,15204,27797,23065,20303,25456,18563,14067,9239
DE944,14062,14597,31540,22367,19561,22786,16944,12994,9897
DE945,6155,6425,10998,8100,7928,11906,9673,9053,6040
DE946,11347,12917,12427,13631,15970,20952,16013,12736,8078
DE947,16462,19405,20802,20251,24145,32075,26271,19125,11312
DE948,18379,20486,22418,21402,21738,26885,18578,11100,8362
DE949,31408,35451,39631,40404,42843,52821,39617,26144,17338
DE94A,8281,9489,9568,9696,11744,17311,13344,11643,7384
DE94B,13162,14712,15436,15760,17442,23026,16889,11758,8326
DE94C,15608,17783,19366,19725,21668,28134,21801,15811,9913
DE94D,11869,13720,13144,14114,17242,23640,16361,12076,7978
DE94E,34111,37960,39546,40923,45722,60948,44552,30492,23089
DE94F,15088,16578,19427,18202,18415,22610,15230,9215,6833
DE94G,7394,8890,9587,8986,10890,15788,11937,8998,6154
DE94H,4780,5826,5834,5798,7007,9571,8179,6013,3874
DEA,1651688,1727558,2203147,2215321,2249881,2936312,2187329,1597922,1163493
DEA1,478791,482595,615521,651942,653758,853425,636435,481834,348020
DEA11,58931,50816,82497,98097,83077,91909,64153,52568,37246
DEA12,47982,47937,65663,63244,63148,77224,58045,42329,33018
DEA13,53673,51504,77365,77554,71304,88329,70013,53123,40244
DEA14,20654,21481,27307,27102,28415,37220,27808,21687,15346
DEA15,24029,24744,33108,32706,31983,42682,32502,23529,16171
DEA16,15579,14994,19074,19958,20862,28117,21697,17427,13172
DEA17,18851,18897,24900,26420,26136,34537,27885,18911,14292
DEA18,10223,10758,12493,12850,13914,18714,13563,10873,7606
DEA19,14625,15622,18296,19124,19915,27391,18711,14589,11087
DEA1A,34094,34323,46094,45160,42952,55991,40603,31984,23181
DEA1B,27908,30544,37075,36707,38735,54044,40332,27062,18567
DEA1C,44299,46007,47853,54679,60517,83791,61046,51475,36017
DEA1D,42978,43755,45263,53264,59425,76859,56361,43032,30070
DEA1E,25816,28892,31090,33091,37483,55242,39166,28442,19713
DEA1F,39149,42321,47443,51986,55892,81375,64550,44803,32290
DEA2,415872,427802,579439,575719,568430,721469,521251,388564,270358
DEA22,32349,32081,51626,46700,40584,47007,32901,25056,18954
DEA23,102704,93177,166203,172819,148560,156625,105692,84051,55833
DEA24,15554,15838,18553,19956,21006,27138,18784,15179,11830
DEA26,23956,25880,30975,30737,32383,44923,35040,23521,16307
DEA27,44974,45716,50950,56047,61379,79700,58411,43996,28916
DEA28,17386,19172,20252,21723,23868,34720,26261,17395,12063
DEA29,23016,25506,27833,29701,32001,45007,33581,22122,15555
DEA2A,25799,28139,30070,31128,33201,47063,34669,24085,18317
DEA2B,25576,28176,27122,30450,35899,51041,35581,28796,20814
DEA2C,57372,61404,64401,68971,75486,103451,75012,56315,37368
DEA2D,47186,52713,91454,67487,64063,84794,65319,48048,34401
DEA3,243443,263892,322803,312532,329292,436939,326592,222864,165262
