eurostat,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_over
UKI43,61219,53199,101010,105163,70876,57027,34533,21201,12358
UKI44,82818,64307,108203,129369,89328,73631,41473,23547,14704
UKI45,37795,30624,66387,75868,42576,36237,20186,11316,7255
UKI5,285034,236684,260785,318761,266804,235773,156336,108158,72303
UKI51,75556,63121,74226,88582,75156,66986,43579,31177,20418
UKI52,73637,59728,61886,72419,62177,57539,39697,28765,20213
UKI53,86247,70537,80406,105817,83406,67784,45505,28822,19051
UKI54,49594,43298,44267,51943,46065,43464,27555,19394,12621
UKI6,181003,151548,152807,208456,192361,174023,116981,84418,55175
UKI61,43951,37633,34041,48372,49168,46222,31949,25776,17424
UKI62,55706,48288,45769,60274,54121,53123,34759,22726,14707
UKI63,81346,65627,72997,99810,89072,74678,50273,35916,23044
UKI7,296021,244584,272373,345286,301033,257981,183514,122473,80178
UKI71,54334,46459,51257,64499,56492,47750,33933,24340,16775
UKI72,46615,38601,48161,57284,44618,40076,28398,16829,11034
UKI73,49114,40240,44476,57337,50855,42358,29802,18517,12138
UKI74,79173,66340,74257,87849,75782,68467,49936,34595,23504
UKI75,66785,52944,54222,78317,73286,59330,41445,28192,16727
UKJ,1104338,1067564,1084725,1141509,1210580,1273146,983639,807069,502463
UKJ1,315247,296261,281235,327407,336192,326319,239091,182760,112916
UKJ11,123874,115096,104049,130269,132512,121955,85529,63118,38755
UKJ12,40386,33756,29456,42792,39756,34097,25968,16665,8801
UKJ13,69516,66394,54139,66210,76294,77789,57399,45884,29503
UKJ14,81471,81015,93591,88136,87630,92478,70195,57093,35857
UKJ2,333529,326398,327314,346633,388926,412989,321861,272402,179786
UKJ21,28652,31892,61561,42366,39434,36926,23067,16917,11354
UKJ22,58398,59791,53035,57486,66499,82697,73214,65563,41943
UKJ25,97953,94540,91309,96251,112882,110253,79486,64571,44325
UKJ26,49932,46787,37740,49217,57665,59445,43660,35966,23881
UKJ27,48438,46314,44198,48613,56010,65490,58268,54501,35717
UKJ28,50156,47074,39471,52700,56436,58178,44166,34884,22566
UKJ3,228421,225343,257996,239362,249216,276078,219894,183998,112742
UKJ31,26020,26017,43259,29616,25057,25752,17987,13766,8549
UKJ32,31300,29653,57916,35578,27935,27157,20532,14943,9347
UKJ34,13535,14118,13258,13610,15907,21274,20739,18680,10485
UKJ35,51393,51362,50763,54390,57367,66664,54471,45746,28367
UKJ36,59000,62308,53010,55872,69723,82029,69353,60988,39357
UKJ37,47173,41885,39790,50296,53227,53202,36812,29875,16637
UKJ4,227141,219562,218180,228107,236246,257760,202793,167909,97019
UKJ41,37399,34025,37621,38502,36004,37748,27763,20818,11014
UKJ43,49123,43468,42139,50546,47921,50033,36944,29164,16797
UKJ44,57174,61370,71657,57316,60822,73682,66405,57081,32921
UKJ45,38114,35128,32581,37752,39436,42519,31818,27266,15468
UKJ46,45331,45571,34182,43991,52063,53778,39863,33580,20819
UKK,621689,615051,675449,656305,679167,785657,672802,567574,342687
UKK1,295978,284126,335380,322382,316174,341800,269144,218604,132980
UKK11,58101,51028,101603,75876,52804,48002,35986,26309,17390
UKK12,78164,79035,90585,82416,86307,94622,74706,64977,40026
UKK13,71703,70726,68910,74480,80623,93307,76418,62185,36897
UKK14,29482,25510,24621,31643,31667,31683,22515,15956,9440
UKK15,58528,57827,49661,57967,64773,74186,59519,49177,29227
UKK2,140125,142937,137360,145742,158678,191983,173287,150985,94906
UKK21,38840,37178,46618,46858,43961,45855,36817,30785,21397
UKK22,40333,44621,36057,39520,48436,63237,61850,57391,35618
UKK23,60952,61138,54685,59364,66281,82891,74620,62809,37891
UKK3,60212,60546,58672,58265,67710,83080,77743,66359,36025
