key,all,male,female,age_00_09,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_and_older
PE_APU_0106,5161,2550,2611,1016,1057,781,719,593,426,316,158,94
PE_APU_0107,3540,1748,1792,698,725,534,493,406,292,217,109,65
PE_APU_0108,3448,1704,1744,678,706,523,481,397,284,211,105,62
PE_APU_0109,9941,4911,5031,1955,2038,1507,1387,1143,820,608,303,180
PE_APU_0201,50433,24478,25955,10970,10424,6874,6911,5515,3972,3068,1729,971
PE_APU_0202,4907,2382,2525,1068,1014,669,672,537,386,298,168,94
PE_APU_0203,1186,576,610,258,245,161,162,130,94,72,41,23
PE_APU_0204,6748,3276,3472,1465,1395,922,925,739,532,410,231,130
PE_APU_0205,4185,2031,2154,910,865,571,574,458,330,254,143,81
PE_APU_0206,952,462,490,207,197,129,130,104,75,58,33,18
PE_APU_0207,8972,4355,4617,1951,1854,1223,1230,981,707,546,307,173
PE_APU_0208,4105,1994,2111,892,848,561,563,450,324,249,140,79
PE_APU_0209,8969,4353,4616,1951,1854,1223,1229,981,706,545,307,173
PE_APU_0210,2637,1281,1356,572,542,357,360,289,209,163,93,52
PE_APU_0211,984,478,506,214,203,134,135,108,78,60,34,19
PE_APU_0212,2864,1391,1474,623,591,388,391,313,226,176,99,56
PE_APU_0213,30437,14773,15664,6620,6291,4149,4171,3329,2397,1851,1043,586
PE_APU_0214,1899,922,977,413,392,259,260,208,150,116,65,37
PE_APU_0215,8900,4320,4580,1936,1840,1212,1219,973,701,542,305,172
PE_APU_0216,20946,10178,10767,4564,4330,2834,2857,2290,1653,1285,725,408
PE_APU_0217,2348,1140,1208,510,484,320,321,257,185,143,81,45
PE_APU_0218,3767,1828,1939,819,779,514,516,412,297,229,129,72
PE_APU_0219,2268,1102,1166,495,468,309,311,248,178,137,77,43
PE_APU_0220,6606,3207,3400,1437,1365,900,905,723,521,402,227,127
PE_APU_0301,2684,1365,1320,570,450,284,334,311,246,261,150,79
PE_APU_0302,484,246,238,102,81,52,60,56,44,47,27,14
PE_APU_0303,1492,758,734,317,251,158,185,173,137,144,83,44
PE_APU_0304,1866,948,917,395,313,198,232,216,171,181,104,55
PE_APU_0305,3238,1646,1592,691,546,343,402,376,296,311,179,94
PE_APU_0306,1212,616,596,257,203,128,151,141,111,118,68,35
PE_APU_0307,1509,767,742,320,253,160,188,175,138,147,84,44
PE_APU_0401,4695,2381,2313,913,799,529,596,533,453,434,289,148
PE_APU_0402,1019,517,502,198,174,115,129,116,98,94,63,32
PE_APU_0403,1324,672,653,258,225,149,168,151,128,123,82,42
PE_APU_0404,1842,934,908,358,314,208,234,209,178,170,113,58
PE_APU_0405,963,488,475,188,165,109,122,109,93,89,59,30
PE_APU_0406,5664,2872,2792,1102,965,640,719,643,546,522,348,178
PE_APU_0407,697,354,343,135,119,79,88,79,67,64,43,22
PE_APU_0408,1288,653,635,250,219,145,163,146,124,119,79,41
PE_APU_0409,1935,981,954,377,331,219,246,220,186,178,118,60
PE_APU_0410,1013,514,499,197,173,114,129,115,98,94,62,32
PE_APU_0411,781,396,385,152,133,88,99,89,75,72,48,24
PE_APU_0412,1391,705,686,271,237,157,177,158,134,128,85,44
PE_APU_0413,693,351,341,135,118,78,88,79,67,64,43,22
PE_APU_0414,1970,999,971,383,335,222,250,224,190,182,121,62
PE_APU_0415,2811,1425,1386,547,480,318,357,319,271,259,172,88
PE_APU_0416,1891,959,932,368,322,213,240,215,182,175,116,59
PE_APU_0417,1090,553,537,212,186,123,138,124,105,101,67,34
PE_APU_0501,11525,5808,5718,2985,2189,1312,1438,1309,928,742,388,235
PE_APU_0502,3698,1863,1835,954,703,422,462,420,298,238,124,76
PE_APU_0503,7995,4029,3967,2069,1519,910,997,907,644,516,270,164
PE_APU_0504,10963,5524,5439,2839,2084,1248,1366,1245,883,706,369,224
PE_APU_0505,6835,3444,3391,1770,1299,778,852,776,550,440,230,140
PE_APU_0506,8706,4387,4319,2252,1653,991,1086,988,701,562,294,179
PE_APU_0601,6482,3219,3262,1453,1341,758,810,705,531,465,265,154
PE_APU_0602,10137,5036,5101,2274,2100,1186,1267,1103,829,725,413,240
PE_APU_0603,2714,1346,1368,605,557,317,339,295,223,198,114,66
PE_APU_0604,9693,4819,4874,2179,2000,1152,1218,1055,790,684,389,225
PE_APU_0605,7062,3508,3555,1584,1462,829,884,769,577,503,287,167
PE_APU_0606,8385,4166,4219,1882,1736,982,1048,913,686,598,341,198
PE_APU_0607,3542,1758,1784,793,733,417,444,386,290,252,144,84
PE_APU_0608,5656,2810,2847,1269,1172,662,707,616,463,404,230,134
PE_APU_0609,2400,1192,1208,538,497,281,300,261,196,172,98,57
PE_APU_0610,1958,973,985,440,405,230,245,213,160,139,79,46
PE_APU_0611,2240,1112,1129,501,462,272,283,244,182,156,89,52
PE_APU_0701,4707,2383,2324,1046,877,502,566,536,436,375,234,135
PE_APU_0702,2148,1087,1061,477,400,230,258,245,199,171,107,61
PE_APU_0703,3472,1757,1715,772,647,372,418,396,321,276,171,99
PE_APU_0704,1406,712,694,314,262,150,169,160,130,112,69,40
PE_APU_0705,832,421,411,185,155,89,100,95,77,67,41,24
PE_APU_0706,1673,847,826,372,311,178,201,191,155,134,83,48
PE_APU_0707,1025,519,506,228,191,109,123,117,95,82,51,29
PE_APU_0708,3164,1602,1562,705,589,337,380,360,292,252,157,90
PE_APU_0709,313,158,155,70,58,33,38,36,29,25,16,9
PE_APU_0710,621,314,307,138,116,66,75,71,58,50,31,18
PE_APU_0711,692,350,342,154,129,74,83,79,64,55,34,20
PE_APU_0712,1058,536,523,235,197,113,127,121,98,84,53,30
PE_APU_0713,1292,654,638,287,240,138,155,147,120,103,64,37
PE_APU_0714,1743,882,860,387,324,186,209,199,161,139,87,50
PE_ARE,1583919,776078,807841,238300,247981,272678,254168,210030,163584,106150,59449,31578
PE_ARE_0101,74797,35840,38957,10915,11753,13149,11987,9864,7774,5032,2805,1517
PE_ARE_0102,95139,45586,49552,13884,14949,16725,15247,12547,9888,6401,3568,1929
PE_ARE_0103,102574,49149,53425,14969,16117,18032,16439,13527,10661,6901,3847,2080
PE_ARE_0104,207661,99502,108159,30305,32629,36506,33281,27386,21584,13971,7788,4211
PE_ARE_0105,12124,5809,6314,1769,1905,2131,1943,1599,1260,816,455,246
PE_ARE_0106,3075,1474,1602,449,483,541,493,406,320,207,115,62
PE_ARE_0107,51158,24513,26645,7466,8038,8993,8199,6747,5317,3442,1919,1038
PE_ARE_0108,37826,18137,19689,5519,5939,6639,6062,4991,3935,2551,1422,768
PE_ARE_0109,57295,27453,29842,8361,9003,10072,9182,7556,5955,3855,2149,1162
PE_ARE_0110,53888,25821,28067,7864,8467,9473,8636,7107,5601,3626,2021,1093
PE_ARE_0111,3379,1619,1760,493,531,594,542,446,351,227,127,69
PE_ARE_0112,130977,62759,68219,19114,20580,23025,20991,17273,13613,8812,4912,2656
PE_ARE_0113,585,280,304,85,92,103,94,77,61,39,22,12
PE_ARE_0114,1531,735,796,223,240,269,245,202,159,103,58,31
PE_ARE_0115,1386,664,722,202,218,244,222,183,144,93,52,28
PE_ARE_0116,9095,4358,4737,1327,1429,1599,1458,1199,945,612,341,184
PE_ARE_0117,27532,13192,14340,4018,4326,4840,4412,3631,2862,1852,1033,558
PE_ARE_0118,2098,1005,1093,306,330,369,336,277,218,141,79,43
PE_ARE_0119,2636,1266,1370,385,413,463,422,347,274,178,100,54
PE_ARE_0120,2684,1286,1398,392,422,472,430,354,279,181,101,54
PE_ARE_0121,7771,3724,4047,1134,1221,1366,1245,1025,808,523,291,158
PE_ARE_0122,67706,32442,35264,9881,10638,11902,10851,8929,7037,4555,2539,1373
PE_ARE_0123,14730,7058,7672,2150,2315,2590,2361,1943,1531,991,552,299
PE_ARE_0124,14155,6782,7372,2066,2224,2488,2269,1867,1471,952,531,287
PE_ARE_0125,2716,1304,1412,396,426,475,435,359,283,184,103,55
PE_ARE_0126,22741,10896,11844,3319,3573,3998,3645,2999,2364,1530,853,461
PE_ARE_0127,2170,1040,1130,317,341,381,348,286,226,146,81,44
PE_ARE_0128,38057,18236,19821,5554,5980,6690,6099,5019,3955,2560,1427,772
PE_ARE_0129,84500,40489,44011,12331,13277,14855,13542,11144,8783,5685,3169,1714
PE_ARE_0201,14636,7684,6953,2365,2337,2421,2374,2084,1532,850,459,217
PE_ARE_0202,5008,2629,2379,809,799,828,812,713,524,291,157,74
PE_ARE_0203,10004,5256,4748,1617,1595,1655,1622,1424,1046,582,314,149
PE_ARE_0204,7635,4008,3627,1233,1219,1263,1238,1087,799,443,239,113
PE_ARE_0205,20255,10634,9621,3274,3232,3347,3284,2882,2119,1178,636,301
PE_ARE_0206,4630,2431,2199,748,739,766,751,659,484,269,145,69
PE_ARE_0207,2644,1388,1257,427,422,437,429,376,277,154,83,39
PE_ARE_0208,18747,9842,8905,3029,2993,3101,3040,2669,1962,1089,587,277
PE_ARE_0301,4197,2380,1816,688,635,793,734,546,375,225,135,65
PE_ARE_0302,3285,1863,1422,538,497,620,574,427,293,177,106,51
PE_ARE_0303,4303,2440,1863,705,652,813,753,561,384,231,139,66
PE_ARE_0304,1085,616,470,178,164,205,190,141,97,58,35,17
PE_ARE_0305,10472,5940,4531,1716,1585,1979,1832,1363,934,562,338,161
PE_ARE_0306,960,544,416,158,145,180,167,125,86,52,31,15
PE_ARE_0307,9331,5294,4038,1529,1413,1764,1633,1215,833,501,301,143
PE_ARE_0308,7891,4477,3414,1293,1195,1492,1381,1027,704,424,255,121
PE_ARE_0309,4440,2517,1924,729,673,837,775,577,396,239,144,69
PE_ARE_0310,1190,674,517,196,181,223,207,155,106,65,39,19
PE_ARE_0311,1333,756,577,218,202,252,233,174,119,72,43,20
PE_ARE_0312,2117,1200,917,347,321,400,370,275,189,114,69,33
PE_ARE_0313,1687,957,730,277,255,319,295,220,151,91,54,26
PE_ARE_0401,9106,4818,4288,1601,1376,1317,1454,1229,911,633,381,204
PE_ARE_0402,1110,588,523,195,168,161,177,150,111,77,46,25
PE_ARE_0403,370,196,174,65,56,53,59,50,37,26,15,8
PE_ARE_0404,1691,895,796,298,256,245,270,228,169,118,71,38
PE_ARE_0405,1844,976,868,324,279,267,295,249,185,128,77,41
PE_ARE_0406,994,526,468,175,150,144,159,134,99,69,41,22
PE_ARE_0407,1791,947,843,315,271,259,286,242,179,124,75,40
PE_ARE_0408,702,371,330,123,106,101,112,95,70,49,29,16
PE_ARE_0409,11498,6084,5414,2022,1737,1663,1836,1552,1150,799,481,257
